% Model:              galvanized_nail.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 29 2024, 16:53
% Table:              Table 4 - 
% r-coordinate (mm)      Zinc oxidation
1                        0.011972357769982895
1                        0.01192853382315059
1                        0.01188487029069556
1                        0.01184136658543258
1                        0.011798022122325823
1                        0.012134312060854434
1                        0.012093619248374718
1                        0.012053062900572955
1                        0.012012642559810344
1                        0.012281116309957008
1                        0.012244249574034104
1                        0.012207493508524484
1                        0.012170847781206157
1                        0.01241533110742609
1                        0.012381640520412705
1                        0.012348041357111138
1                        0.012314533369431474
1                        0.012536973197502042
1                        0.01250645139581276
1                        0.012476003900765448
1                        0.012445630531457313
1                        0.012647087530891516
1                        0.012619468607179146
1                        0.012591909998139634
1                        0.012564411572056781
1                        0.012746490325677899
1                        0.012721566620802474
1                        0.012696691650209906
1                        0.012671865318608153
1                        0.012836593486537599
1                        0.012814008159624437
1                        0.012791462570433898
1                        0.012768956649049538
1                        0.012918734387652345
1                        0.012898150016721968
1                        0.012877598444385775
1                        0.01285707961838339
1                        0.012993685287454784
1                        0.012974906894083878
1                        0.012956155639130554
1                        0.012937431483374565
1                        0.0130624711696227
1                        0.013045240636197738
1                        0.013028032831342145
1                        0.01301084772507496
1                        0.013126314060000284
1                        0.01311032414377477
1                        0.013094353705783544
1                        0.013078402722299069
1                        0.013185665358421006
1                        0.013170802422351434
1                        0.013155956239844382
1                        0.013141126792015142
1                        0.0132412044933608
1                        0.013227297816570173
1                        0.013213405745373734
1                        0.01319952826443185
1                        0.013293801066157544
1                        0.013280632368720473
1                        0.013267476716054542
1                        0.013254334095237722
1                        0.013343559358003186
1                        0.01333110235186195
1                        0.013318656975076703
1                        0.013306223216790754
1                        0.013391017117736546
1                        0.01337913687728716
1                        0.013367267176747608
1                        0.01335540800676714
1                        0.013436917412521458
1                        0.013425427609964685
1                        0.013413947632247817
1                        0.013402477470969763
1                        0.013481276117839862
1                        0.013470172731661373
1                        0.013459078490402367
1                        0.013447993386530955
1                        0.013524564370419373
1                        0.013513729293598356
1                        0.01350290289719667
1                        0.013492085174260057
1                        0.013567035173019578
1                        0.013556404985277638
1                        0.013545783126613486
1                        0.01353516959050108
1                        0.013608818259317909
1                        0.013598360439307603
1                        0.013587910655704109
1                        0.013577468902331746
1                        0.01365071434759164
1                        0.01364022824901644
1                        0.013629750205570081
1                        0.01361928021106491
1                        0.013692885824116425
1                        0.013682330756803732
1                        0.013671783825792459
1                        0.013661245024810763
1                        0.013778516615745506
1                        0.013767808226968548
1                        0.013757108160538111
1                        0.013746416409986261
1                        0.01373573296885009
1                        0.013725008629466628
1                        0.013714292663240639
1                        0.013703585063634687
1                        0.013822481180295451
1                        0.013811476905139555
1                        0.013800481390644688
1                        0.013789494629836325
1                        0.013866686319855125
