% Model:              galvanized_nail.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 29 2024, 16:53
% Table:              Table 4 - 
% r-coordinate (mm)      Zinc oxidation
1                        0.013855621799087477
1                        0.013844566106933716
1                        0.013833519236349335
1                        0.013913039320911423
1                        0.013901436564565578
1                        0.013889843484319373
1                        0.013878260072103441
1                        0.013960205777939287
1                        0.013948399194328557
1                        0.013936602595915693
1                        0.013924815974255881
1                        0.014062090026473382
1                        0.014049115835498211
1                        0.014036153614979152
1                        0.014023203353871833
1                        0.014010265041142056
1                        0.013997733421819957
1                        0.013985213011528016
1                        0.01397270380024013
1                        0.014117169755829079
1                        0.01410337963065998
1                        0.014089602976147897
1                        0.014075839779134264
1                        0.014175303103494965
1                        0.014160747362337913
1                        0.014146206567570303
1                        0.014131680703844612
1                        0.014237983782718946
1                        0.01422228767664972
1                        0.014206608874136254
1                        0.014190947356102875
1                        0.014304440279988404
1                        0.014287797131859311
1                        0.014271173347953787
1                        0.014254568905741657
1                        0.014376973803563958
1                        0.014358806014464211
1                        0.014340661183503304
1                        0.01432253928166967
1                        0.01445517987119411
1                        0.014435588561693375
1                        0.014416023804571193
1                        0.014396485563840707
1                        0.014635536729629108
1                        0.01461186537640536
1                        0.014588232308963263
1                        0.014564637465379771
1                        0.014541080783832127
1                        0.014519557817010432
1                        0.014498066707387479
1                        0.014476607407809912
1                        0.01474186595719355
1                        0.014715211447070307
1                        0.014688605130500812
1                        0.014662046920347208
1                        0.014859500188175832
1                        0.014830003920985843
1                        0.01480056620420247
1                        0.01477118692160254
1                        0.014993821537497265
1                        0.014960127796619713
1                        0.014926509771474243
1                        0.014892967291914309
1                        0.015147278492290587
1                        0.015108767635778167
1                        0.015070354690324186
1                        0.015032039406996838
1                        0.015326302263469127
1                        0.015281348929255725
1                        0.015236527446954258
1                        0.015191837429832019
1                        0.015525552624858076
1                        0.015475498493791769
1                        0.015425605736436133
1                        0.0153758738325249
1                        0.015744580745096923
1                        0.015689535720820155
1                        0.0156346831408356
1                        0.015580022332333928
1                        0.015987732476477994
1                        0.015926594747123546
1                        0.01586569081089494
1                        0.015805019773757877
1                        0.01625487310293234
1                        0.016187672362713245
1                        0.016120749443148726
1                        0.016054103195675327
1                        0.016545658226467586
1                        0.016472477867705632
1                        0.016399621180860215
1                        0.016327086734351723
1                        0.01686448531033457
1                        0.01678420714723273
1                        0.016704311123481818
1                        0.016624795420025807
1                        0.017211526560493334
1                        0.017124102407868363
1                        0.017037122317101357
1                        0.016950584032626417
1                        0.017592237966783716
1                        0.01749627781763236
1                        0.01740084110104499
1                        0.017305924961860914
1                        0.018015096616375615
1                        0.017908438485045915
1                        0.017802411821713375
1                        0.017697012887780392
1                        0.018483793031917085
1                        0.01836548795350608
1                        0.01824794008394034
1                        0.018131144576722633
1                        0.019010508849010965
1                        0.01887743921340666
1                        0.018745301037768024
1                        0.018614087802067678
1                        0.019615584442509708
1                        0.01946253357124063
1                        0.019310676881529862
1                        0.01916000505575911
1                        0.02032133234964768
1                        0.02014254984811727
1                        0.01996534023473728
1                        0.019789689671592253
1                        0.02118347462532074
1                        0.020964569190309854
1                        0.020747925876614077
1                        0.02053352130796201
1                        0.022330544687079908
1                        0.02203808159116186
1                        0.021749448883784377
1                        0.02146459639835689
1                        0.024228927085656517
1                        0.023739713114254418
1                        0.023260377017715196
1                        0.022790719348726465
1.1111111111111112       0.011836673831617468
1.222222222222222        0.011875452168458712
1.3333333333333333       0.011914357547696288
1.4444444444444444       0.011953390385536014
1.5555555555555554       0.011985857403707896
1.6666666666666665       0.012018412606673797
1.777777777777778        0.012051056233955493
1.888888888888889        0.01208378852572531
2                        0.012113642378852523
2.1111111111111107       0.012143569988032673
2.2222222222222223       0.012173571535485359
2.333333333333333        0.012203647203880275
2.444444444444444        0.0122329732184178
2.555555555555556        0.012262369704930963
2.6666666666666665       0.012291836832767687
2.7777777777777777       0.012321374771682875
2.888888888888889        0.012351678235991228
3                        0.01238205622931652
3.111111111111111        0.01241250893495711
3.2222222222222223       0.01244303653666207
3.3333333333333335       0.01247565643015175
3.4444444444444446       0.012508361837932774
3.555555555555556        0.012541152984184078
3.666666666666667        0.012574030093672306
3.777777777777778        0.012610904407125508
3.8888888888888893       0.012647886857348087
4                        0.012684977761459505
4.111111111111112        0.012722177437509145
4.222222222222222        0.012766787362070228
4.333333333333334        0.01281155370996208
4.4444444444444455       0.01285647702967833
4.555555555555556        0.012901557871635803
4.666666666666668        0.012966550153516795
4.777777777777779        0.013031869837463942
4.888888888888888        0.013097518572782536
5                        0.013163498017086328
5                        0.013145578243570506
5                        0.013145202745895495
5                        0.01314482725894641
5                        0.01314445178272292
5                        0.013144076317224763
5                        0.013155613979163535
5                        0.013153104327219892
5                        0.013150595154034075
5                        0.013148086459514714
5                        0.013161526564763274
5                        0.01315955540769795
5                        0.013157584545846122
